Date,RefNo,Merchant,TxnId,CCY,Amount,Stat,Description,Proc,Settled
8/19/22 3:07 pm,IHC23728,CNEBOOKSHOP,103672,PHP,'1,296.75',S,Order OfAug 2022,GCSH,8/19/22 3:10 pm
8/19/22 3:17 pm,MB6YV4C1,CNEBOOKSHOP,103670,PHP,415.68,S,Order OfAug 2022,PYMY,8/19/22 3:17 pm
8/19/22 3:26 pm,UJKDUHD7,CNEBOOKSHOP,103678,PHP,466.20,S,Order OfAug 2022,ECPY,8/19/22 4:18 pm
8/19/22 3:42 pm,ZWPT2ZP1,CNEBOOKSHOP,103683,PHP,'1,313.88',S,Order OfAug 2022,ECPY,8/19/22 3:50 pm
8/19/22 3:59 pm,YXK6ZX35,CNEBOOKSHOP,103684,PHP,'4,027.48',S,Order OfAug 2022,ECPY,8/19/22 4:03 pm
8/19/22 4:29 pm,9I4TF6X8,CNEBOOKSHOP,103686,PHP,'1,296.75',S,Order OfAug 2022,GCSH,8/19/22 4:30 pm
8/19/22 4:41 pm,UFQ9IEQ6,CNEBOOKSHOP,103688,PHP,'3,572.92',S,Order OfAug 2022,UBPB,8/19/22 4:45 pm
8/19/22 5:04 pm,G29PA3G5,CNEBOOKSHOP,103690,PHP,'1,296.75',S,Order OfAug 2022,ECPY,8/19/22 5:16 pm
8/19/22 5:22 pm,SIW4KWJ1,CNEBOOKSHOP,103691,PHP,850.28,S,Order OfAug 2022,ECPY,8/19/22 5:28 pm
8/19/22 5:29 pm,4QZ5MZW0,CNEBOOKSHOP,103676,PHP,'1,365.00',S,Order OfAug 2022,GCSH,8/19/22 5:34 pm
8/19/22 5:43 pm,J6XHAFX1,CNEBOOKSHOP,103692,PHP,'1,313.88',S,Order OfAug 2022,DPAY,8/19/22 5:44 pm
8/19/22 5:51 pm,D6RZDFP2,CNEBOOKSHOP,103696,PHP,'1,296.75',S,Order OfAug 2022,ECPY,8/19/22 5:56 pm
8/19/22 6:19 pm,MCSWIMX2,CNEBOOKSHOP,103698,PHP,624.48,S,Order OfAug 2022,ECPY,8/19/22 6:22 pm
8/19/22 6:20 pm,BRQUUUW1,CNEBOOKSHOP,103699,PHP,415.68,S,Order OfAug 2022,GCSH,8/19/22 6:21 pm
8/19/22 6:56 pm,TDFM8MP2,CNEBOOKSHOP,103700,PHP,524.48,S,Order OfAug 2022,ECPY,8/19/22 7:01 pm
8/19/22 7:03 pm,VGYJHZN0,CNEBOOKSHOP,103702,PHP,614.48,S,Order OfAug 2022,MBTC,8/19/22 10:00 pm
8/19/22 7:07 pm,YHK259I9,CNEBOOKSHOP,103705,PHP,888.00,S,Order OfAug 2022,PYMY,8/19/22 7:08 pm
8/19/22 7:13 pm,UHFGYXL1,CNEBOOKSHOP,103706,PHP,'1,296.75',S,Order OfAug 2022,GCSH,8/19/22 7:13 pm
8/19/22 7:38 pm,VNI2T7U1,CNEBOOKSHOP,103709,PHP,466.20,S,Order OfAug 2022,GCSH,8/19/22 7:39 pm
8/19/22 7:43 pm,KYNSYH82,CNEBOOKSHOP,103713,PHP,908.00,S,Order OfAug 2022,GCSH,8/19/22 7:45 pm
8/19/22 7:44 pm,QV4AFK30,CNEBOOKSHOP,103714,PHP,'1,365.00',S,Order OfAug 2022,ECPY,8/19/22 7:46 pm
8/19/22 7:49 pm,IIMAN4J2,CNEBOOKSHOP,103715,PHP,775.00,S,Order OfAug 2022,RCBC,8/19/22 7:51 pm
8/19/22 8:05 pm,VJBUXC93,CNEBOOKSHOP,103720,PHP,'3,909.48',S,Order OfAug 2022,UBPB,8/19/22 8:07 pm
8/19/22 8:07 pm,BPNRGGR0,CNEBOOKSHOP,103719,PHP,'1,919.48',S,Order OfAug 2022,ECPY,8/19/22 8:11 pm
8/19/22 8:08 pm,Q89I6GL8,CNEBOOKSHOP,103721,PHP,'1,537.48',S,Order OfAug 2022,BPIA,8/19/22 8:12 pm
8/19/22 8:14 pm,A2TY2IP1,CNEBOOKSHOP,103723,PHP,'1,296.75',S,Order OfAug 2022,BPIA,8/19/22 8:18 pm
8/19/22 9:45 pm,3D7I8RW2,CNEBOOKSHOP,103735,PHP,'1,537.48',S,Order OfAug 2022,ECPY,8/19/22 9:50 pm
